,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
E2P69_RS01050,139.0739257,-1.323700431,0.440174681,-3.007216199,0.002636522,0.018539853
E2P69_RS01055,173.7279939,-0.826804583,0.401927364,-2.05709951,0.039676655,0.146828629
E2P69_RS01060,104.0910252,-0.730220742,0.522983807,-1.396258799,0.162636576,0.372783772
E2P69_RS01065,920.6425941,0.103052403,0.249166722,0.413588145,0.679175757,0.842809507
E2P69_RS01070,1111.364904,0.674347985,0.30679787,2.198020422,0.027947651,0.114754747
E2P69_RS01075,597.4886198,-0.73776975,0.260998442,-2.826720897,0.00470273,0.029271584
E2P69_RS01080,559.8758886,-0.087624323,0.318991412,-0.274691793,0.783553037,0.905959091
E2P69_RS01085,653.918287,0.160491075,0.266753508,0.601645603,0.547410066,0.755100103
E2P69_RS01090,507.2298557,0.020829178,0.294068871,0.070830951,0.943532299,0.978628956
E2P69_RS01095,56.6047925,-0.216895793,0.595223571,-0.364393823,0.715563947,NA
E2P69_RS01100,349.6300923,0.025860155,0.321340006,0.080475989,0.935858693,0.975164204
E2P69_RS01105,116.7149177,-0.299729218,0.713931351,-0.419829186,0.674610242,0.841680591
E2P69_RS01110,92.03326781,0.008065915,0.478413447,0.016859717,0.98654853,0.994186224
E2P69_RS01115,307.5550426,-0.165073373,0.347882734,-0.47450867,0.635137217,0.81742029
E2P69_RS01120,4912.430424,0.452166391,0.180234552,2.508766414,0.012115357,0.061948335
E2P69_RS01125,1354.854552,0.1441106,0.215755582,0.667934512,0.504175396,0.722330183
E2P69_RS01135,22761.69176,0.828603059,0.22192011,3.733789871,0.00018862,0.002222434
E2P69_RS01140,1458.981496,-0.953550332,0.246931176,-3.861603656,0.000112645,0.001443087
E2P69_RS01145,539.3319612,-0.05752884,0.303586816,-0.189497161,0.84970318,0.931909685
E2P69_RS01150,169.2011793,-0.338796571,0.417651498,-0.811194435,0.417254021,0.652167664
E2P69_RS01155,81.22773262,-0.974765956,0.681651408,-1.430006518,0.152715148,0.357961056
E2P69_RS01160,192.8465151,-0.295831218,0.54362142,-0.544186096,0.586313419,0.785093947
E2P69_RS01165,131.8305574,-0.100886335,0.412087874,-0.244817529,0.806597721,0.914296567
E2P69_RS01170,142.8947975,-1.199978677,0.472418963,-2.540073052,0.011082932,0.057759125
E2P69_RS01175,29.90862431,-1.24476533,0.901718386,-1.380436895,0.167452167,NA
E2P69_RS01180,161.004224,-0.506738756,0.388655753,-1.303824148,0.192293547,0.412695926
E2P69_RS01185,964.8218594,0.015828632,0.269010379,0.058840227,0.953079368,0.980831564
E2P69_RS01190,1750.962422,0.437767014,0.25642339,1.707203914,0.087784158,0.250010985
